feature_name,model_feature_importance
Total_Trans_Amt,0.36124308808440375
Avg_Utilization_Ratio,0.1749160834753978
Total_Relationship_Count,0.09507487297870867
Contacts_Count_12_mon,0.07642072946423586
Months_Inactive_12_mon,0.06119997683497324
Dependent_count,0.055211036639622374
Gender_M,0.020832830267327934
Marital_Status_Married,0.016024647790438103
Education_Level_Graduate,0.014828844457054942
Marital_Status_Single,0.014739091206962637
Income_Category_$40K - $60K,0.0131755051542066
Education_Level_High School,0.012382372942614888
Education_Level_Unknown,0.011819020798152358
Education_Level_Uneducated,0.011404016157074854
Income_Category_$80K - $120K,0.010079730849728137
Income_Category_$60K - $80K,0.009952026726526052
Income_Category_Unknown,0.009359227938086589
Card_Category_Silver,0.007465517832936257
Education_Level_Doctorate,0.0072820688577519424
Marital_Status_Unknown,0.006431813184600995
Education_Level_Post-Graduate,0.0064036815602358564
Card_Category_Gold,0.00246663538511179
Card_Category_Platinum,0.0012871814138482806
