features,VIF
battery_power,8.086451931316928
blue,1.974937319784645
clock_speed,4.196542662041459
dual_sim,2.0480709204485614
fc,3.4037116192999117
four_g,3.2526251111036535
int_memory,3.98946065656896
m_dep,3.970378380902604
mobile_wt,13.035798586155245
n_cores,4.691784730707181
pc,6.279892917751483
px_height,4.17845114490494
px_width,11.807758789674828
ram,4.713609159880765
sc_h,11.377114175489325
sc_w,3.6142363721220683
talk_time,4.769285650050402
three_g,6.287408597032394
touch_screen,1.9933490454013507
wifi,1.9950881579642756
